player_id,ab_group,item_name,item_category,price_usd,purchase_timestamp,payment_method,country,is_refunded
4432645,gate_30,VIP Starter Pack,bundle,7.99,2026-05-14 06:01:37.913743,google_play,Indonesia,False
4432645,gate_30,Special Skin Bundle,cosmetic,3.99,2026-05-15 01:01:37.913743,google_play,Indonesia,False
5081932,gate_40,Ad-Free Pass,subscription,4.99,2026-05-22 07:01:37.913743,credit_card,Philippines,False
5081932,gate_40,Ad-Free Pass,subscription,4.99,2026-05-14 23:01:37.913743,dana,Philippines,False
7022644,gate_40,Gem Bundle 500,gem,2.99,2026-05-13 22:01:37.913743,google_play,Thailand,False
1416705,gate_40,VIP Starter Pack,bundle,7.99,2026-05-24 00:01:37.913743,google_play,Philippines,False
1416705,gate_40,Booster Pack,booster,1.99,2026-05-17 18:01:37.913743,credit_card,Philippines,False
1416705,gate_40,Gem Bundle 100,gem,0.99,2026-05-24 20:01:37.913743,dana,Philippines,False
1416705,gate_40,VIP Starter Pack,bundle,7.99,2026-05-16 04:01:37.913743,dana,Philippines,False
1416705,gate_40,Ad-Free Pass,subscription,4.99,2026-05-23 08:01:37.913743,gopay,Philippines,False
5515005,gate_40,Extra Lives Pack,lives,0.99,2026-05-15 06:01:37.913743,google_play,Singapore,True
5515005,gate_40,Gem Bundle 500,gem,2.99,2026-05-19 07:01:37.913743,google_play,Singapore,False
5515005,gate_40,Gem Bundle 500,gem,2.99,2026-05-19 19:01:37.913743,google_play,Singapore,False
5515005,gate_40,Booster Pack,booster,1.99,2026-05-19 03:01:37.913743,google_play,Singapore,False
5515005,gate_40,Gem Bundle 500,gem,2.99,2026-05-20 02:01:37.913743,apple_pay,Singapore,False
5397886,gate_30,Extra Lives Pack,lives,0.99,2026-05-21 20:01:37.913743,apple_pay,Indonesia,False
5397886,gate_30,Ad-Free Pass,subscription,4.99,2026-05-21 05:01:37.913743,apple_pay,Indonesia,False
4184679,gate_40,Ad-Free Pass,subscription,4.99,2026-05-04 03:01:37.913743,apple_pay,Indonesia,False
4184679,gate_40,Ad-Free Pass,subscription,4.99,2026-05-04 20:01:37.913743,apple_pay,Indonesia,False
4184679,gate_40,VIP Starter Pack,bundle,7.99,2026-05-04 00:01:37.913743,credit_card,Indonesia,False
4766832,gate_30,Special Skin Bundle,cosmetic,3.99,2026-05-05 08:01:37.913743,gopay,Vietnam,False
4766832,gate_30,Booster Pack,booster,1.99,2026-04-25 22:01:37.913743,google_play,Vietnam,False
4766832,gate_30,VIP Starter Pack,bundle,7.99,2026-04-25 03:01:37.913743,gopay,Vietnam,False
4766832,gate_30,Gem Bundle 100,gem,0.99,2026-04-25 07:01:37.913743,credit_card,Vietnam,False
6124509,gate_40,Booster Pack,booster,1.99,2026-06-17 07:01:37.913743,google_play,Malaysia,False
3525210,gate_40,Booster Pack,booster,1.99,2026-05-11 06:01:37.913743,google_play,Singapore,False
3525210,gate_40,Ad-Free Pass,subscription,4.99,2026-05-09 06:01:37.913743,gopay,Singapore,False
7058472,gate_30,Booster Pack,booster,1.99,2026-05-05 23:01:37.913743,google_play,Vietnam,False
7058472,gate_30,Gem Bundle 100,gem,0.99,2026-05-05 05:01:37.913743,apple_pay,Vietnam,False
7058472,gate_30,Special Skin Bundle,cosmetic,3.99,2026-05-06 02:01:37.913743,google_play,Vietnam,False
7058472,gate_30,Gem Bundle 500,gem,2.99,2026-05-10 02:01:37.913743,apple_pay,Vietnam,False
2620052,gate_30,Gem Bundle 500,gem,2.99,2026-05-10 07:01:37.913743,apple_pay,Philippines,False
9433638,gate_40,Gem Bundle 500,gem,2.99,2026-06-05 18:01:37.913743,credit_card,Thailand,False
9433638,gate_40,Extra Lives Pack,lives,0.99,2026-06-16 05:01:37.913743,google_play,Thailand,False
9433638,gate_40,Special Skin Bundle,cosmetic,3.99,2026-06-06 21:01:37.913743,google_play,Thailand,False
6348597,gate_30,Gem Bundle 500,gem,2.99,2026-06-10 20:01:37.913743,google_play,Cambodia,False
6348597,gate_30,Ad-Free Pass,subscription,4.99,2026-06-10 20:01:37.913743,apple_pay,Cambodia,False
2368993,gate_40,Booster Pack,booster,1.99,2026-05-19 08:01:37.913743,google_play,Vietnam,False
2368993,gate_40,Booster Pack,booster,1.99,2026-05-13 05:01:37.913743,apple_pay,Vietnam,False
2368993,gate_40,Extra Lives Pack,lives,0.99,2026-05-17 03:01:37.913743,dana,Vietnam,False
2368993,gate_40,Gem Bundle 500,gem,2.99,2026-05-14 00:01:37.913743,google_play,Vietnam,False
9083076,gate_40,Extra Lives Pack,lives,0.99,2026-06-10 00:01:37.913743,dana,Malaysia,False
2258173,gate_40,Monthly Battle Pass,subscription,9.99,2026-06-06 07:01:37.913743,credit_card,Thailand,False
2258173,gate_40,Extra Lives Pack,lives,0.99,2026-06-01 23:01:37.913743,credit_card,Thailand,False
2258173,gate_40,Booster Pack,booster,1.99,2026-06-08 00:01:37.913743,google_play,Thailand,False
3648109,gate_30,Extra Lives Pack,lives,0.99,2026-05-16 03:01:37.913743,dana,Indonesia,False
3648109,gate_30,VIP Starter Pack,bundle,7.99,2026-05-24 23:01:37.913743,apple_pay,Indonesia,False
722248,gate_40,Gem Bundle 100,gem,0.99,2026-06-11 07:01:37.913743,gopay,Philippines,False
722248,gate_40,VIP Starter Pack,bundle,7.99,2026-06-14 19:01:37.913743,apple_pay,Philippines,False
5307715,gate_40,Extra Lives Pack,lives,0.99,2026-06-01 07:01:37.913743,credit_card,Philippines,False
5307715,gate_40,Ad-Free Pass,subscription,4.99,2026-05-30 20:01:37.913743,credit_card,Philippines,False
5307715,gate_40,Gem Bundle 100,gem,0.99,2026-06-04 08:01:37.913743,google_play,Philippines,False
5307715,gate_40,Monthly Battle Pass,subscription,9.99,2026-06-07 18:01:37.913743,google_play,Philippines,False
5307715,gate_40,Ad-Free Pass,subscription,4.99,2026-06-04 20:01:37.913743,google_play,Philippines,False
5237329,gate_40,VIP Starter Pack,bundle,7.99,2026-06-26 18:01:37.913743,google_play,Thailand,False
1550759,gate_40,Booster Pack,booster,1.99,2026-05-07 06:01:37.913743,credit_card,Vietnam,False
1550759,gate_40,Special Skin Bundle,cosmetic,3.99,2026-05-10 08:01:37.913743,google_play,Vietnam,False
1550759,gate_40,Extra Lives Pack,lives,0.99,2026-05-05 06:01:37.913743,google_play,Vietnam,False
1550759,gate_40,Gem Bundle 100,gem,0.99,2026-05-09 08:01:37.913743,google_play,Vietnam,False
8114265,gate_40,Ad-Free Pass,subscription,4.99,2026-05-26 06:01:37.913743,google_play,Myanmar,False
8114265,gate_40,Monthly Battle Pass,subscription,9.99,2026-05-26 18:01:37.913743,google_play,Myanmar,False
8114265,gate_40,Gem Bundle 500,gem,2.99,2026-05-19 20:01:37.913743,gopay,Myanmar,False
5717587,gate_30,VIP Starter Pack,bundle,7.99,2026-05-31 19:01:37.913743,dana,Malaysia,False
9455767,gate_40,Booster Pack,booster,1.99,2026-04-28 18:01:37.913743,apple_pay,Thailand,False
9455767,gate_40,Extra Lives Pack,lives,0.99,2026-05-07 04:01:37.913743,credit_card,Thailand,False
5370422,gate_40,Monthly Battle Pass,subscription,9.99,2026-06-04 22:01:37.913743,apple_pay,Philippines,False
5370422,gate_40,Gem Bundle 100,gem,0.99,2026-06-07 05:01:37.913743,apple_pay,Philippines,False
7810642,gate_30,Special Skin Bundle,cosmetic,3.99,2026-06-23 01:01:37.913743,apple_pay,Indonesia,False
9078404,gate_40,Gem Bundle 500,gem,2.99,2026-06-08 05:01:37.913743,dana,Vietnam,False
9078404,gate_40,VIP Starter Pack,bundle,7.99,2026-06-14 08:01:37.913743,google_play,Vietnam,False
9078404,gate_40,Extra Lives Pack,lives,0.99,2026-06-06 01:01:37.913743,credit_card,Vietnam,False
895439,gate_30,VIP Starter Pack,bundle,7.99,2026-06-02 02:01:37.913743,google_play,Singapore,False
515466,gate_30,Special Skin Bundle,cosmetic,3.99,2026-06-04 00:01:37.913743,dana,Vietnam,False
515466,gate_30,Booster Pack,booster,1.99,2026-06-05 20:01:37.913743,google_play,Vietnam,False
3493109,gate_40,Booster Pack,booster,1.99,2026-05-26 01:01:37.913743,apple_pay,Indonesia,False
3493109,gate_40,Special Skin Bundle,cosmetic,3.99,2026-05-23 19:01:37.913743,apple_pay,Indonesia,False
9017414,gate_30,Monthly Battle Pass,subscription,9.99,2026-07-01 03:01:37.913743,google_play,Philippines,False
1776463,gate_30,Monthly Battle Pass,subscription,9.99,2026-05-28 06:01:37.913743,apple_pay,Vietnam,False
1776463,gate_30,Ad-Free Pass,subscription,4.99,2026-06-05 06:01:37.913743,apple_pay,Vietnam,False
2861454,gate_40,Monthly Battle Pass,subscription,9.99,2026-06-08 21:01:37.913743,google_play,Thailand,False
6037043,gate_30,Extra Lives Pack,lives,0.99,2026-06-24 19:01:37.913743,credit_card,Indonesia,False
6037043,gate_30,Gem Bundle 100,gem,0.99,2026-06-24 02:01:37.913743,google_play,Indonesia,False
6037043,gate_30,Ad-Free Pass,subscription,4.99,2026-06-22 20:01:37.913743,apple_pay,Indonesia,False
8579615,gate_30,Extra Lives Pack,lives,0.99,2026-04-25 23:01:37.913743,credit_card,Vietnam,False
4504099,gate_30,Ad-Free Pass,subscription,4.99,2026-05-06 18:01:37.913743,google_play,Malaysia,False
